Unnamed: 0,date,lat,lon,panoID,probability ,wall,building,sky,greenery,terrain type ,vehicles,path ,person,fence,signboard,pole,bicycle
846,2023-08,44.49968422904605,11.23054723520732,3bIf7zaIT8Ti6aJOfOhrOA,0.712910168,0.3,3.53,40.05,25.11,12.44,0.03,15.77,0,2.55,0,0.02,0
847,2023-10,44.49162025979089,11.22575233364604,s-LEJ03XC4LHAi8eg-RrxQ,0.699461941,1.07,19.49,18.68,22.94,0,5.54,30.53,0.11,0.03,0.21,0.11,0
848,2023-10,44.49068795486728,11.22106522238272,dBpbK8fnA5LAS31nQ3MJPg,0.67331005,0.45,7.55,28.66,32.67,0.35,3.79,20.6,0,1.62,0.05,0.07,0
849,2022-03,44.49651753440972,11.20846965600061,xR8U-0ziSrdxwbkuRcqeGw,0.593848564,0.04,8.91,35.42,13.64,1.32,4.9,30.12,0.03,3.84,0.83,0,0
850,2019-04,44.51567112444503,11.21472854928123,nMIqlkFOCyIdxzgb9TQjFw,0.587891298,0,0.63,33.3,49.13,0.88,0.01,10.71,0,0.13,0,0.7,0
851,2023-10,44.52023336657131,11.22317767973048,frSyweygGyGKtgqJUpQ0pQ,0.615192112,15.18,1.46,21.17,13.43,0.58,0.54,34.04,0,1.09,0.27,0,0
852,2019-05,44.51108950236953,11.22235313,qmCzaaVomSZhsLmegVhteA,0.640274477,0,0.05,28.38,58.74,5.4,0,7.03,0,0.07,0.02,0.04,0
853,2022-03,44.50419120059801,11.22149667237457,sN8wpxWjCsGbdFXKk7ZZoA,0.653491988,0,0.63,28.19,52.49,6.43,0,7.9,0,2.61,0,0.18,0
854,2019-05,44.51443372043959,11.22747787725761,_JyMrkl_UpB22sRWllnVug,0.655639504,0,0,0,0,0,0,0,0,0,0,0,0
855,2022-05,44.54136557136393,11.20652054687752,fd_ot_WFGgFLbkKOFuizsQ,0.460670173,0,0,0,0,0,0,0,0,0,0,0,0
856,2022-05,44.57517164006719,11.20573811744625,2osagXSHn1ex4ivaX8LkIA,0.310855899,0,0.15,31.45,37.69,20.18,0,10.24,0,0.01,0,0.01,0
857,2022-05,44.57222201584221,11.21206065297375,zYBw4E8QmFjMKoRfRQLPug,0.346784518,0,6.89,45.62,5.11,19.96,0.23,13.63,0,4.76,0.02,0,0
858,2023-10,44.48637979102457,11.27368417,DXasR9HBQP8T9GvrYuTUNQ,0.968633115,2.86,1.82,38.38,12.91,0.08,5.37,28.81,0,2.9,0.46,0.21,0
859,2022-03,44.48959428401809,11.27824131224182,SlFGRn5NJSKnCDLbMy_HaQ,0.949910291,0,0,0,0,0,0,0,0,0,0,0,0
860,2023-09,44.49440904107436,11.27471359191914,NGysg2QZDhctUUQWq78-iA,0.923519155,5.94,0.07,28.78,29.93,0.02,0.23,22.87,0,8.07,0.02,0,0
861,2023-09,44.49984424162063,11.27434654100213,FW45HkaCz4rg-3HyWasbFg,0.891423781,1.92,0.92,27.68,30.76,0,0.46,35.25,0.02,1.65,0.15,0,0
862,2023-10,44.48090545874336,11.27134447810547,JvBMe0mL6XsHYpV-bc1AKg,0.973888553,1.02,4.08,43.93,8.96,0.81,0.5,32.98,0,5.33,0.06,0.11,0
863,2022-10,44.48460776056893,11.27105069500901,sJhLp3knhE5KVw7zey42Fg,0.966752349,0.04,3.66,33.52,20.32,0.33,0.64,28.65,0,1.11,0.37,0,0
864,2022-06,44.48838493931056,11.27567589009037,2Uh2ahGisFc_qJB3UqqtCw,0.959250726,0,0,0,0,0,0,0,0,0,0,0,0
865,2022-06,44.48682359825992,11.27351001274161,2vUDBBnVO7oG9ztX8lTmQA,0.965824726,3.37,9.87,25,38.63,0.15,0.13,14.98,0.09,3.66,0.06,1.41,0
866,2023-06,44.51495274572461,11.31983507243357,hEvlE35hIPunM0VLIoRKNw,0.673779497,1.34,6.86,27.52,21.45,0,2.7,34.95,0.03,0.08,0.69,0.02,0
867,2022-05,44.51610639337441,11.35162995033415,zPmkKxBejtkrtI3ZS7gRwA,0.508489105,1.69,14.05,13.35,27.89,0,15.1,19.09,0,1.04,0.08,0.23,0
868,2022-06,44.48260259270472,11.37153691765202,fWD8xgiT52-3kpvZ3jsaQA,0.435529801,0.36,21.97,5.55,31.97,0,14.66,23.5,0.38,0.08,0.03,0.02,0.11
